visitor_id,visitor_name,gift_id,gift_name,gift_description,gift_category,price,state,suitable_for_profile,preferences,festival,country
1,Bruce Alan,1,Silk Saree,Traditional Indian attire,Clothing,5000,Karnataka,"Art Collectors & Connoisseurs, Shopoholic, Cultural Enthusiasts, Foodie",2,Baisakhi,Canada
1,Bruce Alan,9,Brassware from Rajasthan,Intricate brass items from Rajasthan,Home Decor,2500,Rajasthan,"Art Collectors & Connoisseurs, Shopoholic, Cultural Enthusiasts, Foodie",3,Navratri,Canada
1,Bruce Alan,6,Wooden Sculpture,Carved wooden sculptures,Art,2500,Kashmir,"Art Collectors & Connoisseurs, Shopoholic, Cultural Enthusiasts, Foodie",1,Holi,Canada
2,Greta Lindberg,13,Kerala Metal Craft,Metal handicrafts from Kerala,Home Decor,4000,Kerala,Luxury Homeowners & Interior Designers,2,Durga Puja,USA
2,Greta Lindberg,12,Banarasi Saree,Traditional handwoven saree from Banaras,Clothing,5000,Uttar Pradesh,Luxury Homeowners & Interior Designers,3,Baisakhi,USA
2,Greta Lindberg,2,Tanjore Painting,South Indian art form,Art,3000,Tamil Nadu,Luxury Homeowners & Interior Designers,1,Navratri,USA
3,Dimitri Volkov,12,Banarasi Saree,Traditional handwoven saree from Banaras,Clothing,5000,Uttar Pradesh,"Luxury Homeowners & Interior Designers, Shopoholic",2,Baisakhi,Switzerland
3,Dimitri Volkov,11,Pashmina Shawl,Fine quality shawl from Kashmir,Clothing,6000,Kashmir,"Luxury Homeowners & Interior Designers, Shopoholic",3,Baisakhi,Switzerland
3,Dimitri Volkov,13,Kerala Metal Craft,Metal handicrafts from Kerala,Home Decor,4000,Kerala,"Luxury Homeowners & Interior Designers, Shopoholic",1,Baisakhi,Switzerland
4,Fatima Aziz,9,Brassware from Rajasthan,Intricate brass items from Rajasthan,Home Decor,2500,Rajasthan,"Luxury Homeowners & Interior Designers, Spiritual Seekers",1,Navratri,Canada
4,Fatima Aziz,6,Wooden Sculpture,Carved wooden sculptures,Art,2500,Kashmir,"Luxury Homeowners & Interior Designers, Spiritual Seekers",2,Ganesh Chaturthi,Canada
4,Fatima Aziz,8,Madhubani Painting,Folk art from Bihar,Art,3500,Rajasthan,"Luxury Homeowners & Interior Designers, Spiritual Seekers",3,Holi,Canada
5,Marco Ricci,6,Wooden Sculpture,Carved wooden sculptures,Art,2500,Kashmir,"Luxury Homeowners & Interior Designers, Spiritual Seekers",2,Holi,Canada
5,Marco Ricci,15,Lacquer Ware,Traditional lacquer work from Chhattisgarh,Art,1200,Chhattisgarh,"Luxury Homeowners & Interior Designers, Spiritual Seekers",1,Ganesh Chaturthi,Canada
5,Marco Ricci,9,Brassware from Rajasthan,Intricate brass items from Rajasthan,Home Decor,2500,Rajasthan,"Luxury Homeowners & Interior Designers, Spiritual Seekers",3,Durga Puja,Canada
6,Alina Petrova,11,Pashmina Shawl,Fine quality shawl from Kashmir,Clothing,6000,Kashmir,"Shopoholic, Art Collectors & Connoisserurs",2,Navratri,Germany
6,Alina Petrova,13,Kerala Metal Craft,Metal handicrafts from Kerala,Home Decor,4000,Kerala,"Shopoholic, Art Collectors & Connoisserurs",3,Ganesh Chaturthi,Germany
6,Alina Petrova,12,Banarasi Saree,Traditional handwoven saree from Banaras,Clothing,5000,Uttar Pradesh,"Shopoholic, Art Collectors & Connoisserurs",1,Eid,Germany
